1/10/2021,-11.1
1/17/2021,-13.0
1/24/2021,6.232
1/31/2021,12.93
2/7/2021,16.32
2/14/2021,16.73
2/21/2021,-20.8
2/28/2021,4.826
3/7/2021,20.05
3/14/2021,-5.03
3/21/2021,-4.55
3/28/2021,2.152
4/4/2021,4.866
4/11/2021,0.488
4/18/2021,-20.2
4/25/2021,13.28
5/2/2021,1.631
5/9/2021,-25.6
5/16/2021,-24.6
5/23/2021,-7.89
5/30/2021,2.171
6/6/2021,0.334
6/13/2021,-0.23
6/20/2021,-11.1
6/27/2021,7.791
7/4/2021,-3.04
7/11/2021,-6.69
7/18/2021,7.672
7/25/2021,18.05
8/1/2021,6.48
8/8/2021,5.184
8/15/2021,3.77
8/22/2021,0.005
8/29/2021,2.152
9/5/2021,-10.6
9/12/2021,6.36
9/19/2021,-12.6
9/26/2021,10.29
10/3/2021,13.32
10/10/2021,9.875
10/17/2021,0.66
10/24/2021,0.428
10/31/2021,-0.28
11/7/2021,4.638
11/14/2021,-7.61
11/21/2021,-10.1
11/28/2021,-10.9
12/5/2021,0.163
12/12/2021,-4.83
12/19/2021,7.29
12/26/2021,-5.95
1/10/2021,40296.53,-11.1
1/17/2021,36254.71,-13.0
1/24/2021,32068.09,6.232
1/31/2021,34199.52,12.93
2/7/2021,39279.41,16.32
2/14/2021,46941.29,16.73
2/21/2021,56377.63,-20.8
2/28/2021,46653.53,4.826
3/7/2021,49019.37,20.05
3/14/2021,61315.2,-5.03
3/21/2021,58376.16,-4.55
3/28/2021,55832.42,2.152
4/4/2021,57060.41,4.866
4/11/2021,59979.39,0.488
4/18/2021,60273.87,-20.2
4/25/2021,50133.11,13.28
5/2/2021,57812.97,1.631
5/9/2021,58771.88,-25.6
5/16/2021,46780.9,-24.6
5/23/2021,37520.32,-7.89
5/30/2021,34775.08,2.171
6/6/2021,35546.99,0.334
6/13/2021,35666.15,-0.23
6/20/2021,35581.64,-11.1
6/27/2021,32023.97,7.791
7/4/2021,34729.89,-3.04
7/11/2021,33704.54,-6.69
7/18/2021,31588.67,7.672
7/25/2021,34213.6,18.05
8/1/2021,41754.17,6.48
8/8/2021,44647.58,5.184
8/15/2021,47088.85,3.77
8/22/2021,48933.69,0.005
8/29/2021,48936.54,2.152
9/5/2021,50013.03,-10.6
9/12/2021,45196.49,6.36
9/19/2021,48266.63,-12.6
9/26/2021,42856.86,10.29
10/3/2021,47777.76,13.32
10/10/2021,55125.46,9.875
10/17/2021,61165.64,0.66
10/24/2021,61572.14,0.428
10/31/2021,61837.26,-0.28
11/7/2021,61661.36,4.638
11/14/2021,64660.34,-7.61
11/21/2021,60082.91,-10.1
11/28/2021,54533.4,-10.9
12/5/2021,49161.99,0.163
12/12/2021,49242.3,-4.83
12/19/2021,46970.06,7.29
12/26/2021,50663.49,-5.95
